What is your PRIMARY MAJOR?,"Internship, field experience, co-op, or practicum",ParticipateServiceL,ParticipateCService,ParticipateStudyAbroadSemester,SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,DA1,DA2,DA3,DA4,DA5,LocalRole,LocalFinance,LocalTime,GlobalRole,GlobalFinance,GlobalTime,Your gender?
6,,,1,,4,2,3,4,2,3,4,4,3,3,3,3,4,4,3,3,5,4,5,1
63,1,,1,,2,1,3,5,2,4,4,5,1,3,1,5,5,,,,,,,1
40,,,,,4,4,3,3,3,3,4,4,3,3,3,3,3,,,,,,,2
63,,,,,4,2,3,2,4,4,4,5,2,3,2,4,4,,,,,,,2
24,,1,,1,4,3,3,3,4,3,4,4,1,3,2,4,4,,,,,,,2
37,1,,,,2,3,2,2,3,4,4,4,2,2,2,4,4,2,2,3,4,4,4,1
5,1,,,,1,1,3,3,3,4,3,4,2,3,2,4,4,,,,,,,1
63,,,,,1,1,3,1,5,4,5,5,2,2,1,5,4,,,,,,,1
55,1,,1,,2,3,3,3,4,3,4,4,1,3,2,3,4,3,4,4,3,3,3,2
42,,,1,,2,3,3,1,2,3,3,3,3,2,2,4,4,,,,,,,1
17,1,,1,,1,1,1,1,4,4,4,5,1,2,2,5,5,5,3,4,5,3,4,1
24,1,,1,,3,2,2,2,2,3,5,4,2,3,2,4,4,,,,,,,2
54,1,,1,,2,2,3,2,3,3,5,4,2,3,2,4,4,,,,,,,1
45,1,,1,,2,1,2,3,3,4,5,5,2,2,2,5,5,,,,,,,1
19,1,,,,3,4,4,4,5,4,3,3,4,4,3,3,4,4,3,3,3,3,4,2
10,,1,1,,1,1,3,2,2,3,3,5,1,3,1,5,5,,,,,,,1
26,1,,1,,2,2,3,2,3,3,4,5,2,3,1,5,5,5,4,5,5,4,4,2
17,,1,,,4,2,3,2,4,4,4,5,2,3,1,3,5,3,3,3,3,2,3,2
69,1,,1,,2,2,2,1,3,3,5,4,2,3,1,5,5,5,5,4,5,5,5,2
13,1,,,,3,1,5,2,4,5,4,5,2,1,1,5,5,,,,,,,2
39,1,,,,1,1,3,1,4,3,4,5,2,3,1,5,4,,,,,,,2
19,1,1,,,1,1,3,2,3,4,4,5,2,2,1,5,5,4,4,4,4,4,4,1
63,,1,1,,1,1,2,2,4,4,4,4,1,1,1,3,5,,,,,,,2
10,1,,1,,4,3,3,1,4,3,5,4,4,4,2,4,3,,,,,,,1
3,,,,,4,3,3,2,3,3,4,4,3,5,2,5,4,,,,,,,1
51,,1,1,,4,3,3,4,2,2,3,3,2,3,4,3,4,4,3,4,4,3,3,2
23,,,1,,3,2,3,3,3,4,3,4,2,3,1,5,5,,,,,,,1
39,1,,,,4,2,4,2,4,4,5,4,1,2,2,5,5,,,,,,,2
19,1,1,,,3,2,4,2,4,3,4,2,3,4,3,5,3,2,3,2,3,3,3,1
24,1,,1,,1,2,2,3,4,4,5,5,1,2,2,4,5,,,,,,,2
62,1,,1,1,1,1,3,1,5,4,4,5,2,2,2,5,5,,,,,,,1
19,1,1,1,,2,3,3,2,3,4,4,4,2,4,2,3,3,4,3,3,3,3,3,2
19,1,1,1,,4,4,5,4,2,1,5,4,3,4,2,4,4,4,2,4,4,2,4,1
16,1,,1,,3,1,3,3,3,4,4,4,3,4,3,4,4,4,4,3,2,3,3,1
5,1,,1,,1,1,2,1,4,4,4,4,1,3,2,4,4,,,,,,,1
39,,,1,,4,3,3,4,4,4,4,4,3,4,2,4,4,,,,,,,2
25,1,1,1,,3,3,3,2,5,4,4,5,3,2,2,5,4,,,,,,,2
16,1,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2
17,,1,1,,4,2,3,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,1
51,,,,,5,4,5,4,3,3,3,4,1,3,2,3,4,3,3,3,3,3,3,2
16,1,,1,,2,2,3,2,3,4,4,4,4,3,2,4,3,3,3,3,3,3,3,2
27,1,,1,,2,1,3,1,4,5,5,5,2,4,2,5,5,,,,,,,1
12,1,,1,,1,4,3,3,3,4,4,5,2,2,1,5,4,,,,,,,2
29,1,,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2
63,1,,1,,1,1,2,1,3,3,3,3,2,2,1,5,4,,,,,,,1
68,1,,1,,3,3,3,3,3,5,5,5,2,4,1,5,4,5,1,1,5,1,1,2
68,,,,,3,2,4,4,1,2,1,2,4,5,4,3,3,3,1,1,1,1,1,2
1,1,,1,,2,1,3,2,3,2,3,4,2,4,1,4,3,,,,,,,2
43,1,,1,,3,4,4,3,3,3,3,3,3,4,3,3,3,,,,,,,2
1,,,1,,2,2,3,2,3,,,,,,3,4,4,,,,,,,1
24,1,1,,,2,2,4,3,3,3,3,5,2,3,2,5,5,,,,,,,2
55,,,1,,4,5,5,5,1,4,5,2,4,4,2,4,4,4,3,4,4,2,2,2
16,1,,,,1,1,3,1,3,3,4,4,2,2,2,4,3,3,4,4,3,4,4,2
51,1,1,1,,2,2,3,2,4,4,4,2,4,2,2,4,4,5,2,2,5,1,2,1
52,1,,1,,3,2,3,2,4,4,2,5,1,1,1,5,5,,,,,,,2
10,,1,1,,1,1,3,1,5,5,4,5,1,1,1,5,5,,,,,,,2
5,1,,,,1,1,3,2,2,2,2,5,2,1,1,5,5,,,,,,,1
26,1,,,,4,2,3,1,5,4,5,5,2,4,2,4,4,4,2,4,4,2,4,1
63,1,,1,,2,3,5,4,3,3,5,5,2,3,2,4,4,,,,,,,1
17,,,1,,2,2,3,2,3,3,4,3,3,3,2,4,4,4,3,4,4,3,3,1
62,,,,,4,4,3,3,2,4,5,5,1,3,1,5,5,,,,,,,1
39,,,,,1,1,2,4,5,5,5,5,1,3,1,5,4,,,,,,,2
1,1,1,,,2,2,2,2,2,3,4,3,2,4,2,4,4,,,,,,,1
17,1,,1,,3,3,3,4,3,3,4,3,2,2,2,5,4,3,3,3,4,3,3,1
23,,,,,1,2,3,2,4,4,5,5,4,4,2,4,2,,,,,,,2
69,1,,1,,2,2,3,2,3,2,5,4,1,2,2,4,4,2,2,3,4,4,5,2
60,1,,1,,1,1,3,2,4,4,4,5,1,2,2,5,4,,,,,,,2
19,1,1,1,,2,2,2,4,5,1,5,4,4,4,2,4,3,1,2,2,2,2,2,2
1,,,1,,3,3,3,2,3,3,4,4,2,2,3,4,4,,,,,,,2
10,1,,1,,2,2,2,2,4,4,5,4,2,2,2,4,3,,,,,,,1
26,1,,1,,2,1,2,2,2,2,4,5,2,3,4,4,4,4,2,4,4,4,4,1
27,1,1,1,,1,1,2,1,3,4,4,4,2,1,1,4,5,,,,,,,1
16,1,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
26,1,,1,,2,2,3,2,3,4,4,5,2,3,3,4,4,4,4,4,4,4,4,1
51,1,1,1,,2,2,3,1,4,4,4,4,1,1,1,4,5,5,5,5,5,5,5,1
5,,,1,,2,3,2,2,3,1,4,3,2,2,2,5,4,,,,,,,1
54,,,1,,2,2,3,2,3,3,3,4,2,3,2,4,4,,,,,,,2
3,1,,1,,4,3,3,3,4,4,4,4,2,3,2,4,4,,,,,,,1
9,,1,1,,1,1,3,1,5,5,5,5,1,1,1,5,5,,,,,,,1
39,,,,,2,2,2,2,3,3,4,4,2,2,2,4,3,,,,,,,2
8,,,1,,3,1,3,1,3,3,5,5,2,3,1,4,5,,,,,,,1
17,1,1,1,,3,3,4,3,3,3,3,5,2,2,2,5,5,5,3,5,4,4,4,1
6,1,,1,,2,1,1,1,1,3,4,5,1,1,1,5,5,4,2,4,3,3,4,1
68,1,1,1,,1,1,3,2,4,3,5,5,2,4,2,4,5,3,2,3,3,2,3,2
30,1,1,1,,2,2,3,2,3,3,3,4,4,2,2,3,2,,,,,,,2
63,,1,,,2,1,2,2,3,3,2,5,2,2,1,5,5,,,,,,,1
13,,,1,,3,3,4,4,1,2,4,2,1,2,1,5,5,,,,,,,1
